Symbol,Date,Open,High,Low,Close,Volume
MYHM.IDX,22-May-2020,0.01,0.01,0.01,0.01,3300
MYHN.IDX,22-May-2020,20,20,20,20,189500
MYHO.IDX,22-May-2020,1,1,1,1,9900
MYHP.IDX,22-May-2020,6,6,6,6,49800
MYHQ.IDX,22-May-2020,101,101,101,101,257500
MYHR.IDX,22-May-2020,0.01,0.01,0.01,0.01,3100
MYHS.IDX,22-May-2020,1,1,1,1,5800
MYHT.IDX,22-May-2020,0.01,0.01,0.01,0.01,2700
MYHU.IDX,22-May-2020,13,13,13,13,272600
MYHV.IDX,22-May-2020,111,111,111,111,366600
MYHW.IDX,22-May-2020,0.01,0.01,0.01,0.01,2600
MYHX.IDX,22-May-2020,124,124,124,124,465000
MYHY.IDX,22-May-2020,2,2,2,2,6300
MYHZ.IDX,22-May-2020,64,64,64,64,283600
MYLA.IDX,22-May-2020,2,2,2,2,18000
MYLB.IDX,22-May-2020,0.01,0.01,0.01,0.01,2800
MYLC.IDX,22-May-2020,2,2,2,2,193900
MYLE.IDX,22-May-2020,2,2,2,2,182000
MYLF.IDX,22-May-2020,0.01,0.01,0.01,0.01,6000
MYLG.IDX,22-May-2020,0.01,0.01,0.01,0.01,98500
MYLH.IDX,22-May-2020,5,5,5,5,332800
MYLI.IDX,22-May-2020,0.01,0.01,0.01,0.01,7200
MYLJ.IDX,22-May-2020,0.01,0.01,0.01,0.01,2800
MYLK.IDX,22-May-2020,0.01,0.01,0.01,0.01,7100
MYLL.IDX,22-May-2020,15,15,15,15,306400
MYLM.IDX,22-May-2020,0.01,0.01,0.01,0.01,3300
MYLN.IDX,22-May-2020,7,7,7,7,189500
MYLO.IDX,22-May-2020,0.01,0.01,0.01,0.01,9900
MYLP.IDX,22-May-2020,0.01,0.01,0.01,0.01,49800
MYLQ.IDX,22-May-2020,11,11,11,11,257500
MYLR.IDX,22-May-2020,0.01,0.01,0.01,0.01,3100
MYLS.IDX,22-May-2020,0.01,0.01,0.01,0.01,5800
MYLT.IDX,22-May-2020,0.01,0.01,0.01,0.01,2700
MYLU.IDX,22-May-2020,6,6,6,6,272600
MYLV.IDX,22-May-2020,14,14,14,14,366600
MYLW.IDX,22-May-2020,0.01,0.01,0.01,0.01,2600
MYLX.IDX,22-May-2020,20,20,20,20,465000
MYLY.IDX,22-May-2020,0.01,0.01,0.01,0.01,6300
MYLZ.IDX,22-May-2020,2,2,2,2,283600
N1DA.IDX,22-May-2020,45,45,45,45,59600
N1DB.IDX,22-May-2020,35,35,35,35,39400
N1DC.IDX,22-May-2020,10,10,10,10,10300
