Prices on 05/26/20 
Ticker	Open	High	Low	Close	Volume 

MAR: 92.18,92.25,89.52,91.05,223638
MCD: 184.48,185.35,183.18,184.41,245087
MCHP: 86.92,88.18,86.4349,87.81,180346
MCK: 145.91,150.0,145.89,149.42,90137
M: 5.32,5.46,5.13,5.21,3534519
MDB: 211.14,220.86,209.02,220.28,120314
MDC: 31.96,32.51,31.27,32.47,31740
MELI: 812.99,843.38,804.85,841.31,44011
MGM: 15.91,16.0,15.27,15.9,2047551
MHK: 84.63,85.17,81.62,83.31,35798
MKC: 170.37,172.08,170.15,171.87,36864
MMM: 145.74,146.64,144.6,146.44,245583
MNST: 67.89,68.84,67.78,68.71,165484
MRK: 76.17,76.66,76.07,76.37,605429
MRVL: 29.23,30.19,28.89,30.13,888871
MS: 40.23,40.54,39.8,40.13,641487
MSFT: 183.19,184.46,182.54,183.51,2062255
MTCH: 84.6,86.75,83.1,84.93,78700
MU: 45.148,45.31,44.24,44.94,1328737
NFLX: 437.0,439.09,427.18,429.32,539375
NIO: 3.33,3.34,3.18,3.27,2262999
NKE: 94.42,94.65,93.35,93.75,404446
NOC: 328.95,328.95,323.44,325.91,71613
NOW: 389.04,394.14,384.99,387.96,99611
NTAP: 45.26,45.26,44.075,44.68,160871
NVDA: 353.01,363.72,348.53,361.05,2558255
NVS: 83.85,84.93,83.51,84.91,135662
OKTA: 188.0,192.95,187.27,192.49,128540
ON: 15.76,15.77,15.28,15.74,413534
ORLY: 403.33,405.4,398.5,404.99,44587
PEP: 129.61,130.63,129.17,130.48,334368
PFE: 37.11,37.53,36.96,37.5,1488541
PG: 112.29,113.6,111.76,112.6,549078
PINS: 18.82,18.8845,18.13,18.6,781235
PLNT: 61.66,63.8,60.81,62.96,167214
PM: 70.5,70.6399,69.51,70.45,254685
PRVB: 13.41,13.51,13.03,13.3,22762
PTON: 45.14,46.87,44.8,45.81,620402
PYPL: 148.26,151.0,147.36,150.8603,562031
QCOM: 78.26,78.76,77.29,78.7,546913
QQQ: 228.46,229.87,227.5,229.66,2795515
RACE: 159.53,160.8806,158.86,160.48,12397
RCL: 44.65,45.4,42.02,43.14,1516798
REGN: 558.12,574.19,558.12,569.91,64543
RH: 187.9,199.249,185.38,198.15,156206
RL: 75.21,76.21,72.24,72.84,116060
RNG: 261.89,263.25,255.48,261.53,61385
ROKU: 111.63,114.4,107.62,108.51,1193613
RTX: 60.39,60.77,59.33,60.0,650323
RVLV: 13.2,14.89,13.15,14.59,123215
SAM: 515.77,520.42,513.21,520.19,5343
SBUX: 77.9,78.05,76.52,77.62,757491
SCHW: 33.09,33.23,32.435,32.83,729928
SE: 78.01,79.1922,76.07,79.0,683960
SHAK: 52.77,53.0,51.9,52.45,37927
SHOP: 804.63,826.3799,793.64,825.17,276372
SKYW: 28.67,28.89,27.37,28.18,36459
SLV: 15.96,16.09,15.915,16.04,2501922
SNAP: 17.67,17.68,17.29,17.67,1227164
SNE: 63.2,63.32,62.59,63.24,84565
SNPS: 169.68,171.47,167.06,171.11,97534
SPCE: 14.96,15.92,14.62,15.74,1328073
SPLK: 171.83,185.26,170.0,184.26,871617
SPOT: 192.0,194.57,187.0,190.17,215041
SPX: 2948.05,2956.76,2933.5901,2955.45,
SPY: 294.57,295.63,293.22,295.44,6185962
SQ: 81.23,82.49,80.83,81.49,619596
SYF: 18.08,18.15,17.545,17.85,451886
TDOC: 176.34,176.34,171.22,174.18,145016
TEAM: 181.29,185.45,179.2001,182.6,145640
TEVA: 11.9,11.98,11.69,11.96,642642
TGT: 118.83,119.36,117.18,117.49,484824
TJX: 53.84,54.84,53.05,53.41,1342292
TREE: 257.14,260.41,250.33,252.26,10522
TRV: 99.29,100.22,98.2,100.1,170499
TSLA: 822.1735,831.78,812.0,816.88,993274
TSN: 59.71,59.75,58.74,59.19,133030
TTD: 307.26,314.9758,302.48,307.6,155968
TWLO: 200.17,209.5,196.11,208.62,711083
TWTR: 32.38,32.77,31.775,32.62,1320618
UAL: 26.38,26.58,24.67,25.4,4463149
UBER: 34.15,34.93,33.57,34.83,1858870
ULTA: 223.29,223.64,216.29,220.62,104524
UNH: 287.3,290.24,284.7938,289.94,291076
UPS: 96.79,97.57,95.7,96.72,240141
V: 191.0,191.37,189.23,190.86,559367
VIX: 31.36,31.55,28.03,28.16,
VMW: 135.24,135.8,133.24,134.6,136840
VRNS: 78.93,80.845,78.38,80.45,22116
VXX: 34.9,35.43,34.2,34.35,1528420
VZ: 53.96,54.29,53.67,54.1,1989077
WBA: 39.63,40.07,39.339,39.6,338491
W: 162.53,166.38,160.42,165.69,158502
WDAY: 164.04,169.62,162.8875,168.15,264309
WDC: 42.88,42.89,41.91,42.42,340592
WEN: 20.83,20.99,20.48,20.86,175759
WMT: 125.1,125.35,123.77,124.33,730505
WORK: 32.01,32.08,31.07,31.71,1199148
WYNN: 81.3,81.42,77.52,78.25,768668
XOM: 44.05,44.67,43.45,44.6,1531047
XPO: 74.06,75.98,72.6,75.61,116036
YUM: 88.42,88.47,86.09,87.25,224088
ZM: 171.86,175.89,170.2,171.06,427502
ZTS: 129.6,130.78,128.88,130.11,159456
