Ticker,Date,Open,High,Low,Close,Volume
JPM, 2020-05-22,90.01,90.36,88.72,89.47,13112457
K, 2020-05-22,61.27,62.16,60.92,62.09,1337360
KMX, 2020-05-22,80.68,81.79,79.76,81.55,1428482
KO, 2020-05-22,45.22,45.305,44.65,45.03,12976303
LEVI, 2020-05-22,13.05,13.19,12.71,12.92,854539
LH, 2020-05-22,172.69,173.01,169.33,170.16,526147
LMT, 2020-05-22,369.86,370.1595,365.62,369.0,746697
LOW, 2020-05-22,121.0,122.535,119.07,122.25,5963153
LRCX, 2020-05-22,262.36,263.83,257.63,261.14,1734802
LULU, 2020-05-22,268.7,277.02,267.02,276.73,2065430
LUV, 2020-05-22,29.76,29.98,28.31,28.87,17288703
LVS, 2020-05-22,47.66,48.0,46.5,46.9,6405418
LYFT, 2020-05-22,30.31,31.27,29.57,31.26,6662014
MA, 2020-05-22,295.06,296.8,293.011,294.91,2853614
MAR, 2020-05-22,92.18,92.25,89.52,91.05,2236383
MCD, 2020-05-22,184.48,185.35,183.18,184.41,2450878
MCHP, 2020-05-22,86.92,88.18,86.4349,87.81,1803465
MCK, 2020-05-22,145.91,150.0,145.89,149.42,901376
M, 2020-05-22,5.32,5.46,5.13,5.21,35345196
MDB, 2020-05-22,211.14,220.86,209.02,220.28,1203148
MDC, 2020-05-22,31.96,32.51,31.27,32.47,317400
MELI, 2020-05-22,812.99,843.38,804.85,841.31,440116
MGM, 2020-05-22,15.91,16.0,15.27,15.9,20475519
MHK, 2020-05-22,84.63,85.17,81.62,83.31,357981
MKC, 2020-05-22,170.37,172.08,170.15,171.87,368641
MMM, 2020-05-22,145.74,146.64,144.6,146.44,2455835
MNST, 2020-05-22,67.89,68.84,67.78,68.71,1654847
MRK, 2020-05-22,76.17,76.66,76.07,76.37,6054291
MRVL, 2020-05-22,29.23,30.19,28.89,30.13,8888719
MS, 2020-05-22,40.23,40.54,39.8,40.13,6414873
MSFT, 2020-05-22,183.19,184.46,182.54,183.51,20622559
MTCH, 2020-05-22,84.6,86.75,83.1,84.93,787008
MU, 2020-05-22,45.148,45.31,44.24,44.94,13287371
NFLX, 2020-05-22,437.0,439.09,427.18,429.32,5393758
NIO, 2020-05-22,3.33,3.34,3.18,3.27,22629998
NKE, 2020-05-22,94.42,94.65,93.35,93.75,4044463
NOC, 2020-05-22,328.95,328.95,323.44,325.91,716136
NOW, 2020-05-22,389.04,394.14,384.99,387.96,996117
NTAP, 2020-05-22,45.26,45.26,44.075,44.68,1608711
NVDA, 2020-05-22,353.01,363.72,348.53,361.05,25582553
NVS, 2020-05-22,83.85,84.93,83.51,84.91,1356623
OKTA, 2020-05-22,188.0,192.95,187.27,192.49,1285407
ON, 2020-05-22,15.76,15.77,15.28,15.74,4135348
ORLY, 2020-05-22,403.33,405.4,398.5,404.99,445879
PEP, 2020-05-22,129.61,130.63,129.17,130.48,3343689
PFE, 2020-05-22,37.11,37.53,36.96,37.5,14885411
PG, 2020-05-22,112.29,113.6,111.76,112.6,5490781
PINS, 2020-05-22,18.82,18.8845,18.13,18.6,7812355
PLNT, 2020-05-22,61.66,63.8,60.81,62.96,1672149
PM, 2020-05-22,70.5,70.6399,69.51,70.45,2546855
PRVB, 2020-05-22,13.41,13.51,13.03,13.3,227620
PTON, 2020-05-22,45.14,46.87,44.8,45.81,6204024
PYPL, 2020-05-22,148.26,151.0,147.36,150.8603,5620312
QCOM, 2020-05-22,78.26,78.76,77.29,78.7,5469136
QQQ, 2020-05-22,228.46,229.87,227.5,229.66,27955153
RACE, 2020-05-22,159.53,160.8806,158.86,160.48,123979
RCL, 2020-05-22,44.65,45.4,42.02,43.14,15167985
REGN, 2020-05-22,558.12,574.19,558.12,569.91,645436
RH, 2020-05-22,187.9,199.249,185.38,198.15,1562067
RL, 2020-05-22,75.21,76.21,72.24,72.84,1160608
RNG, 2020-05-22,261.89,263.25,255.48,261.53,613855
ROKU, 2020-05-22,111.63,114.4,107.62,108.51,11936134
RTX, 2020-05-22,60.39,60.77,59.33,60.0,6503230
RVLV, 2020-05-22,13.2,14.89,13.15,14.59,1232150
SAM, 2020-05-22,515.77,520.42,513.21,520.19,53439
SBUX, 2020-05-22,77.9,78.05,76.52,77.62,7574915
SCHW, 2020-05-22,33.09,33.23,32.435,32.83,7299283
SE, 2020-05-22,78.01,79.1922,76.07,79.0,6839609
SHAK, 2020-05-22,52.77,53.0,51.9,52.45,379274
SHOP, 2020-05-22,804.63,826.3799,793.64,825.17,2763720
SKYW, 2020-05-22,28.67,28.89,27.37,28.18,364590
SLV, 2020-05-22,15.96,16.09,15.915,16.04,25019225
SNAP, 2020-05-22,17.67,17.68,17.29,17.67,12271645
SNE, 2020-05-22,63.2,63.32,62.59,63.24,845653
SNPS, 2020-05-22,169.68,171.47,167.06,171.11,975348
SPCE, 2020-05-22,14.96,15.92,14.62,15.74,13280731
SPLK, 2020-05-22,171.83,185.26,170.0,184.26,8716173
SPOT, 2020-05-22,192.0,194.57,187.0,190.17,2150416
SPX, 2020-05-22,2948.05,2956.76,2933.5901,2955.45,0
SPY, 2020-05-22,294.57,295.63,293.22,295.44,61859621
SQ, 2020-05-22,81.23,82.49,80.83,81.49,6195969
SYF, 2020-05-22,18.08,18.15,17.545,17.85,4518869
TDOC, 2020-05-22,176.34,176.34,171.22,174.18,1450162
TEAM, 2020-05-22,181.29,185.45,179.2001,182.6,1456400
TEVA, 2020-05-22,11.9,11.98,11.69,11.96,6426424
TGT, 2020-05-22,118.83,119.36,117.18,117.49,4848249
TJX, 2020-05-22,53.84,54.84,53.05,53.41,13422928
TREE, 2020-05-22,257.14,260.41,250.33,252.26,105229
TRV, 2020-05-22,99.29,100.22,98.2,100.1,1704999
TSLA, 2020-05-22,822.1735,831.78,812.0,816.88,9932749
TSN, 2020-05-22,59.71,59.75,58.74,59.19,1330306
TTD, 2020-05-22,307.26,314.9758,302.48,307.6,1559688
TWLO, 2020-05-22,200.17,209.5,196.11,208.62,7110836
TWTR, 2020-05-22,32.38,32.77,31.775,32.62,13206182
UAL, 2020-05-22,26.38,26.58,24.67,25.4,44631497
UBER, 2020-05-22,34.15,34.93,33.57,34.83,18588708
ULTA, 2020-05-22,223.29,223.64,216.29,220.62,1045242
UNH, 2020-05-22,287.3,290.24,284.7938,289.94,2910768
UPS, 2020-05-22,96.79,97.57,95.7,96.72,2401411
V, 2020-05-22,191.0,191.37,189.23,190.86,5593670
VIX, 2020-05-22,31.36,31.55,28.03,28.16,0
VMW, 2020-05-22,135.24,135.8,133.24,134.6,1368402
VRNS, 2020-05-22,78.93,80.845,78.38,80.45,221168
VXX, 2020-05-22,34.9,35.43,34.2,34.35,15284209
VZ, 2020-05-22,53.96,54.29,53.67,54.1,19890775
WBA, 2020-05-22,39.63,40.07,39.339,39.6,3384918
W, 2020-05-22,162.53,166.38,160.42,165.69,1585020
WDAY, 2020-05-22,164.04,169.62,162.8875,168.15,2643096
WDC, 2020-05-22,42.88,42.89,41.91,42.42,3405928
WEN, 2020-05-22,20.83,20.99,20.48,20.86,1757593
WMT, 2020-05-22,125.1,125.35,123.77,124.33,7305053
WORK, 2020-05-22,32.01,32.08,31.07,31.71,11991482
WYNN, 2020-05-22,81.3,81.42,77.52,78.25,7686680
XOM, 2020-05-22,44.05,44.67,43.45,44.6,15310470
XPO, 2020-05-22,74.06,75.98,72.6,75.61,1160363
YUM, 2020-05-22,88.42,88.47,86.09,87.25,2240882
ZM, 2020-05-22,171.86,175.89,170.2,171.06,4275023
ZTS, 2020-05-22,129.6,130.78,128.88,130.11,1594563
